Mapsize, results_dijkstra, result_aStar, best_dijkstra, best_aStar
5,839366.5,515994.58,8.0,8.0
7,268020.3,294000.34,12.0,12.0
9,416664.91,463656.64,16.0,16.0
11,275713.07,472725.63,20.0,20.0
13,281255.24,903581.83,24.0,24.0
15,341090.02,244078.91,28.0,28.0
17,472231.13,392471.62,32.0,32.0
19,689308.35,752641.97,36.0,36.0
21,1155442.16,794488.07,40.0,40.0
23,1709196.2,1429032.61,44.0,44.0
25,1986350.81,1680575.72,48.0,48.0
27,2681961.72,2133162.03,52.0,52.0
29,3508559.79,2554771.97,56.0,56.0
31,4199071.73,3518151.27,60.0,60.0
33,5830173.88,4245946.83,64.0,64.0
35,7814943.21,5683847.83,68.0,68.0
37,9696193.59,6751837.71,72.0,72.0
39,1.197194026E7,8404893.89,76.0,76.0
41,1.311340106E7,1.030389971E7,80.0,80.0
43,1.659004212E7,1.255423082E7,84.0,84.0
45,2.032348854E7,1.445157119E7,88.0,88.0
47,2.50841937E7,1.800682414E7,92.0,92.0
49,2.727061271E7,2.235730224E7,96.0,96.0
51,3.378752445E7,2.632193318E7,100.0,100.0
53,4.063234727E7,3.154162521E7,104.0,104.0
55,4.605090856E7,3.603786489E7,108.0,108.0
57,5.496873672E7,4.264181838E7,112.0,112.0
59,6.280386589E7,4.999806398E7,116.0,116.0
